"SKILL_CODE","CHANNEL","KEYWORDS","ACTION_TYPE","JUMP_TARGET","MCP_PARAMS","EXTRA_PARAMS","CREATED_AT","UPDATED_AT","NAME"
account_label_setting,JZYY,"- ""账户标签设置""
- ""设置账户标签""
- ""账户打标签""
- ""修改账户标签""",JUMP,"20180",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,账户标签设置
account_label_setting_detail,JZYY,"- ""账户标签设置明细""
- ""查看账户标签明细""
- ""账户标签明细""
- ""标签设置详情""",JUMP,"21747",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,账户标签设置（明细）
account_opening_material_review,JZYY,"- ""开户资料审核""
- ""审核开户资料""
- ""开户审核""
- ""资料审核""",JUMP,"20343",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,开户资料审核
aml_risk_list_customer_verification,JZYY,"- ""反洗钱风险名单客户核查""
- ""反洗钱客户核查""
- ""风险名单客户核查""
- ""AML风险客户核查""
- ""反洗钱名单核查""",JUMP,"20349",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,反洗钱风险名单客户核查
asset_certificate,JZYY,"- ""资产证明""
- ""开具资产证明""
- ""资产证明文件""
- ""资产证明申请""
- ""资产证明办理""",JUMP,"21712",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资产证明
capital_account_restriction_modify,JZYY,"- ""资金账户限制修改""
- ""修改资金账户限制""
- ""资金账户解限""
- ""账户限制变更""",JUMP,"20121",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资金账户限制修改
capital_account_unfreeze,JZYY,"- ""资金账户解冻""
- ""解冻资金账户""
- ""账户解冻""
- ""资金解冻""",JUMP,"20108",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资金账户解冻
cash_treasure_account_setting,JZYY,"- ""现金宝产品-账户设置""
- ""现金宝账户设置""
- ""设置现金宝账户""
- ""现金宝产品账户设置""
- ""现金宝账户配置""",JUMP,"20990",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,现金宝产品-账户设置
cifaccount_signup,JZYY,"- ""我要签约""
- ""签个一户通""",JUMP,"20210",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通签约
counter_business_seal_imprint,JZYY,"- ""柜台业务专用章用印""
- ""专用章用印""
- ""盖章""
- ""业务用印""",JUMP,"20772",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,柜台业务专用章用印
customer_paperless_agreement_auth,JZYY,"- ""我要签署无纸化协议""
- ""客户无纸化协议授权""
- ""签单无纸化授权""",JUMP,"20034",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,客户签单无纸化协议授权
delisted_special_rights_declaration,JZYY,"- ""退市板块特殊确权申报""
- ""特殊确权申报""
- ""退市确权""
- ""确权申报""",JUMP,"50213",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,退市板块特殊确权申报
electronic_signature_agreement_sign,JZYY,"- ""签电子签""
- ""电子签协议""",JUMP,"20067",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,签署电子签名约定书
electronic_signature_promise_sign,JZYY,"- ""签电子签承诺函""",JUMP,"20354",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,签署电子签名承诺函
face_recognition_service_agreement_sign,JZYY,"- ""人脸识别协议""
- ""签人脸识别""
- ""我要取消人脸识别""",JUMP,"21135",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,人脸识别验证服务协议签署/取消
id_verify_product_agreement_sign,JZYY,"- ""签身份认证协议""
- ""产品使用协议""",JUMP,"20313",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,签署身份认证产品使用协议
institution_joint_permission_setting,JZYY,"- ""机构联合权限设置""
- ""机构权限联合设置""
- ""联合权限设置""
- ""机构权限配置""
- ""机构联合权限管理""",JUMP,"20391",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,机构联合权限设置
interest_settlement,JZYY,"- ""利息结算""
- ""结算利息""
- ""利息计算""
- ""利息""",JUMP,"30501",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,利息结算
judicial_assistance_query,JZYY,"- ""协助司法查询""
- ""司法查询协助""
- ""司法协助查询""
- ""协助司法机关查询""
- ""司法调查协助""",JUMP,"21909",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,协助司法查询
margin_trading_contract_termination,JZYY,"- ""融资融券合同终止""
- ""融资融券合同解除""
- ""终止融资融券合同""
- ""融资融券合同结束""
- ""融资融券合同注销""",JUMP,"20613",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,融资融券合同终止
position_certificate,JZYY,"- ""持仓证明""
- ""证明持仓""
- ""持仓""
- ""证明""",JUMP,"21733",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,持仓证明
securities_account_opening_seal_imprint,JZYY,"- ""证券账户开户专用章用印""
- ""开户专用章用印""
- ""证券账户开户用印""
- ""开户章用印""
- ""证券开户专用章""",JUMP,"20776",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券账户开户专用章用印
small_dormant_account_activation,JZYY,"- ""小额休眠账户激活""
- ""休眠账户激活""
- ""小额账户激活""
- ""激活休眠账户""
- ""休眠账户重新激活""",JUMP,"20071",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,小额休眠账户激活
statement_print,JZYY,"- ""对账单打印""
- ""打印对账单""
- ""打印账单""
- ""账单打印""",JUMP,"20918",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,对账单打印
statement_subscription,JZYY,"- ""账单订阅""
- ""订阅账单""
- ""账单订阅服务""
- ""账单订阅设置""
- ""账单订阅管理""",JUMP,"21188",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,账单订阅
switch_custodian_bank,JZYY,"- ""我要改三方存管银行""
- ""我要改银行信息""",JUMP,"20323",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,三方存管银行变更
trade_agency_revoke,JZYY,"- ""委托交易关系撤销""
- ""撤销委托交易关系""
- ""取消委托交易""
- ""委托关系撤销""
- “改变交易所申报状态”
- “修改交易所指定状态”",JUMP,"50104",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,委托交易关系撤销
vip_setting,JZYY,"- ""VIP设置""
- ""设置VIP""
- ""VIP客户设置""
- ""开通VIP""",JUMP,"21588",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,VIP设置
yht_risk_assessment,JZYY,"- ""一户通风险测评""
- ""一户通做风险评估""
- ""一户通风险等级测评""",JUMP,"21012",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通风险测评
ymt_transfer_hang,JZYY,"- ""一码通转挂""
- ""我要办理一码通转挂""
- ""一码通账户转挂""
- ""账户转挂""",JUMP,"20724",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一码通转挂
bank_derivatives_account_cancel,JZYY,"- ""银衍账户销户""
- ""银衍销户""
- ""注销银衍账户""
- ""关闭银衍账户""",JUMP,"20824",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,银衍账户销户
bank_securities_transfer_cancel,JZYY,"- ""银证转账销户""
- ""银证销户""
- ""注销银证转账""
- ""取消银证转账""",JUMP,"21194",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,银证转账销户
cancel_application,JZYY,"- ""销户申请""
- ""我要销户""
- ""申请销户""
- ""办理销户""",JUMP,"20177",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,销户申请
cancel_application_detail,JZYY,"- ""销户申请明细""
- ""查看销户明细""
- ""销户明细""
- ""销户申请详情""",JUMP,"21824",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,销户申请（明细）
capital_account_cancel,JZYY,"- ""资金账户销户""
- ""销资金账户""
- ""注销资金账户""
- ""关闭资金账户""",JUMP,"20102",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资金账户销户
centralized_trading_agent_cancel,JZYY,"- ""集中交易代理人销户""
- ""代理人销户""
- ""集中交易销户""
- ""注销集中交易代理人""",JUMP,"20521",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,集中交易代理人销户
credit_joint_cancel,JZYY,"- ""信用联合销户""
- ""信用账户联合销户""
- ""联合销信用户""
- ""信用销户""",JUMP,"20621",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用联合销户
currency_code_cancel,JZYY,"- ""货币代码销户""
- ""货币账户销户""
- ""注销货币代码""
- ""外币代码销户""",JUMP,"20332",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,货币代码销户
forex_capital_account_cancel,JZYY,"- ""外汇资金账户销户""
- ""外汇账户销户""
- ""注销外汇账户""
- ""外汇资金销户""",JUMP,"20154",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,外汇资金账户销户
fund_account_cancel,JZYY,"- ""基金账号销户""
- ""基金账户销户""
- ""注销基金账户""
- ""关闭基金账号""",JUMP,"20402",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,基金账号销户
personal_pension_account_cancel,JZYY,"- ""个人养老金账户销户""
- ""养老金账户销户""
- ""注销养老金账户""
- ""个人养老金销户""",JUMP,"21577",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,个人养老金账户销户
securities_account_cancel,JZYY,"- ""证券账户注销""
- ""注销证券账户""
- ""证券账户销户""
- ""注销证券""",JUMP,"90105",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券账户注销
securities_account_close,JZYY,"- ""证券账户销户""
- ""销证券账户""
- ""证券账户注销""
- ""关闭证券账户""",JUMP,"20202",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券账户销户
securities_customer_code_joint_cancel,JZYY,"- ""证券客户代码联合销户""
- ""联合销户""
- ""客户代码销户""
- ""证券联合销户""",JUMP,"20511",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券客户代码联合销户
yht_cancel,JZYY,"- ""一户通销户""
- ""销一户通""
- ""注销一户通""
- ""一户通账户销户""",JUMP,"20481",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通销户
ymt_account_cancel,JZYY,"- ""一码通账户注销""
- ""注销一码通""
- ""一码通注销""
- ""一码通账户销户""",JUMP,"90104",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一码通账户注销
account_attribute_modification,JZYY,"- ""修改账户属性""
- ""账户属性变更""
- ""修改我的账户属性""
- ""账户信息属性修改""
- ""更新账户关键标识""
- ""国有属性变更""",JUMP,"20003",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,账户属性修改
general_info_modify,JZYY,"- ""普通信息修改""
- ""修改普通信息""
- ""客户信息修改""",JUMP,"20002",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,普通信息修改
id_info_update,JZYY,"- ""改身份证""
- ""改证件信息""
- ""身份证信息不一致""
- ""账户信息不一致""",JUMP,"20064",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,身份证件信息修改
institution_info_joint_modify,JZYY,"- ""机构信息联合修改""
- ""机构信息修改""
- ""联合修改""
- ""机构修改""",JUMP,"20384",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,机构信息联合修改
yht_contact_info_modify,JZYY,"- ""修改一户通联系信息""
- ""一户通联系方式修改""
- ""一户通手机号修改""
- ""联系信息修改""",JUMP,"21011",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通联系信息修改
capital_account_opening,JZYY,"- ""资金账户开户""
- ""资金账户""
- ""开资金账户""
- ""信用资金账户""
- ""开信用资金账户""",JUMP,"20101",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资金账户开户
credit_account_opening,JZYY,"- ""信用账户联合开户""
- ""信用账户""
- ""融资融券""
- ""两融开户""
- “开融资融券账户”",JUMP,"20601",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用账户联合开户
customer_code_open_account,JZYY,"- ""客户代码开户""
- ""我要开户""
- ""新客户开户""",JUMP,"20001",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,客户代码开户
forex_customer_open_account,JZYY,"- ""开外汇账户""
- ""外汇客户代码开户""
- ""外汇开户""",JUMP,"20151",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,外汇客户代码开户
fund_account_opening,JZYY,"- ""基金账号开户""
- ""基金账号""
- ""TA账户""",JUMP,"21301",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,基金账户开户
money_type_opening,JZYY,"- ""货币开户""
- ""货币代码开户""
- ”申请外币交易权限“
- ”开港币和美元交易权限“",JUMP,"20103",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,货币代码开户
options_joint_opening,JZYY,"- ""我要开期权户""
- ""期权开户""",JUMP,"20801",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,期权联合开户
securities_account_opening,JZYY,"- ""证券账户开户""
- ""证券账户""
- ""股东账户""
- ""开封闭式基金""
- ""股票交易权限""
- ”炒股开户“",JUMP,"20201",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券账户开户
securities_fund_account_opening,JZYY,"- ""证券理财账户开户""
- ""开证券理财""
- ""开通证券理财账户""
- ""开通OTC账户""
- ""理财账户开户""
- ""理财资金账户""
- ""理财资金账户开户""",JUMP,"20350",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,证券理财账户开户
third_party_open,JZYY,"- ""绑定银行卡""
- ""银行卡开户""
- ""我要办三方存管""",JUMP,"20321",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,三方存管开户
trade_agency_establish,JZYY,"- ""建立委托交易关系""
- ""委托交易关系设定""
- ""修改指定交易状态""
- ""办理指定交易""
- ""建立指定交易""
- ""修改交易所指定状态""",JUMP,"50102",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,委托交易关系建立
unified_account_opening,JZYY,"- ""联合开户""
- ""开户""
- ""一起开户""
- ""开封闭式基金""
- ""一户通开户""",JUMP,"20000",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,联合开户
busin_password_update,JZYY,"- ""改密码""
- ""换密码""
- ""修改（而不是忘记）资金密码""",JUMP,"20007",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,资金密码修改
cifaccount_password_update,JZYY,"- ""改密码""
- ""换密码""
- ""修改（而不是忘记）一户通密码""",JUMP,"21005",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通密码修改
password_reset_unlock,JZYY,"- ""密码重置解锁""
- ""重置密码""
- ""账户密码解锁""
- ""密码锁定解锁""",JUMP,"20021",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,密码重置解锁
quick_password_reset,JZYY,"- ""修改重置密码""
- ""改密码""
- ""忘记密码""
- ""密码不记得""
- ""不记得密码""
- ""忘了一户通密码""
- ""忘了交易密码""
- ""忘了资金密码""
- ""忘了支付密码""",JUMP,"21007",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,快捷密码重置
transaction_password_update,JZYY,"- ""改密码""
- ""换密码""
- ""修改（而不是忘记）支付密码""
- ""修改（而不是忘记）交易密码""",JUMP,"20009",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,交易密码修改
yht_password_reset,JZYY,"- ""一户通密码重置""
- ""重置一户通密码""
- ""一户通忘记密码""
- ""忘记一户通密码""",JUMP,"21006",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,一户通密码重置
statement_query,JZYY,"- ""对账单查询""
- ""对账单""
- ""查对账单""
- ""账单""
- ”查交易流水“
- ”查交易记录“",JUMP,"20488",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,对账单查询
suitability_info_inquiry,JZYY,"- ""我的风险等级在哪看""
- ""我的账户权限有问题吗""
- ""查一下适当性信息""",JUMP,"90153",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,适当性管理信息查询
ukey_certificate_apply,JZYY,"- ""UKEY数字证书申请""
- ""申请UKEY证书""
- ""数字证书申请""
- ""办理UKEY数字证书""",JUMP,"21808",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,UKEY数字证书申请
ukey_certificate_manage,JZYY,"- ""UKEY数字证书管理""
- ""管理UKEY证书""
- ""数字证书管理""
- ""UKEY证书管理""
- ""UKEY证书签发""
- ""UKEY证书更新""",JUMP,"21807",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,UKEY数字证书管理
ukey_certificate_revoke,JZYY,"- ""UKEY数字证书作废""
- ""注销UKEY证书""
- ""数字证书作废""",JUMP,"20948",,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,UKEY数字证书作废
bjs_auth_open,VTM,"- ""北交所权限""
- ""开北交所""
- ""北交所""
- ""北交所新三板""
- ""北交所联合开通""
- ""新三板北交所""
- ""开四类合格投资者权限""
- ""新三板权限""
- ""四类权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=21749,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所及新三板联合权限开通
bond_general_corporate_auth,VTM,"- ""普通投资者公司债""
- ""企业债权限""
- ""债券普户""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=21503,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券普通投资者公司债企业债权限限制
bond_professional_auth,VTM,"- ""债券专业投资者""
- ""债券专户""
- ""债券专业户""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20273,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券专业投资者开通
bond_professional_cancel_auth,VTM,"- ""取消债券专户""
- ""关闭债券专业户""
- ""停用债券专户""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20274,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,债券专业投资者取消
bse_bond_general_auth,VTM,"- ""北交所债券普户""
- ""北交所普通债权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=21760,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所债券普通投资者权限
bse_neeq_cancel_auth,VTM,"- ""取消北交所权限""
- ""关闭新三板权限""
- ""停用北交所新三板""
- ""取消四类合格投资者权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20265,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,北交所及新三板权限取消
convertible_bond_auth,VTM,"- ""非定向可转债""
- ""非定向转债权限""
- ""可转债""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20909,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,非定向可转债业务权限设置
credit_bond_professional_auth,VTM,"- ""信用债券专业户""
- ""信用专债权限""
- ""两融债券专户""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=21502,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用债券专业投资者开通
credit_register_grow_auth,VTM,"- ""信用账户创业板""
- ""信用创业板""
- ""两融创业板""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20718,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,信用创业板开通
delisted_confirmation_auth,VTM,"- ""退市确权""
- ""确权申报""
- ""退市板块确权""",JUMP,/userlogin/judge?flowId=userlogin&busicode=50212,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,退市板块普通确权申报
delisting_prep_auth,VTM,"- ""退市整理权限""
- ""退市股买入""
- ""整理期权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20167,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,退市整理期证券买入权限设置
gem_auth_open,VTM,"- ""开通创业板""
- ""创业板开通""
- ""创业板权限""
- ""创业板转签""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20251,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,创业板开通
growth_tier_perms_setting,VTM,"- ""科创成长层""
- ""成长层开通""
- ""北交所权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=21888,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,科创成长层权限设置
hk_stock_connect_permission,VTM,"- ""港股通权限开通""
- ""港股通权限""
- ""港股通""
- ""开通港股通""
- ""开通沪港通""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20217,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,港股通权限开通
hk_stock_connect_permission_cancel,VTM,"- ""取消港股通""
- ""关闭港股通""
- ""停用港股通""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20218,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,港股通权限取消
otc_auth,VTM,"- ""OTC权限""
- ""柜台交易""
- ""柜台产品权限""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20165,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,OTC柜台交易权限设置
preferred_stock_auth,VTM,"- ""优先股权限""
- ""开通优先股""
- ""优先股交易""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20163,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,优先股交易权限设置
private_asset_mgmt_permission,VTM,"- ""私募资管合格投资者权限""
- ""私募资管合格投资者""
- ""私募资管""
- ""合格投资者""
- ""私募资管资格""
- ""私募合格户""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20185,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,私募资管合格投资者权限
private_equity_investor_status,VTM,"- ""私募投资者身份设定""
- ""私募投资者身份""
- ""私募投资者""
- ""私募身份""
- ""私募资格""
- ""私募基金合格投资者""
- ""私募基金产品合格投资者设置""",JUMP,/userlogin/judge?flowId=userlogin&busicode=9984&businessCode=20084,,,2026-05-28 10:00:00.000,2026-05-28 10:00:00.000,私募基金产品合格投资者设置
